Group,Term,Seq,WBCValue,LYMValue,MONValue,GRAValue,HGBValue,MCHValue,MCHCValue,RBCValue,MCVValue,HCTValue,RDWValue,RDWaValue,PLTValue,MPVValue,Glucose,Weight Pct,EAE score,ID
NT,14,,,,,,,,,,,,,,,,,76.89189189,3,NT 2L
NT,14,,,,,,,,,,,,,,,,,84.3956044,3,NT 3R
NT,14,,,,,,,,,,,,,,,,,83.26633166,3,NT 1R1L
NT,14,,,,,,,,,,,,,,,,,87.26804124,2,NT 2R1L
NT,14,,,,,,,,,,,,,,,,,91.01522843,3,NT 1R2L
NT,14,,,,,,,,,,,,,,,,,84.95,2,NT 2R2L
NT,14,,,,,,,,,,,,,,,,,81.36363636,3,NT Full
HICT,14,,,,,,,,,,,,,,,,,88.57142857,3,HICT 1R
HICT,14,,,,,,,,,,,,,,,,,77.4,3,HICT 1L
HICT,14,,,,,,,,,,,,,,,,,80.47368421,3,HICT 2R
HICT,14,,,,,,,,,,,,,,,,,91.64893617,2,HICT 2L
HICT,14,,,,,,,,,,,,,,,,,81.12820513,3,HICT 1R1L
HICT,14,,,,,,,,,,,,,,,,,86.97916667,2,HICT 2R1L
HICT,14,,,,,,,,,,,,,,,,,88.29787234,2,HICT 1R2L
HICT,14,,,,,,,,,,,,,,,,,81.65775401,3.5,HICT 2R2L
HICT,14,,,,,,,,,,,,,,,,,77.9787234,3.5,HICT full
NT,15,,,,,,,,,,,,,,,,,81.71717172,3,NT 1R
NT,15,,,,,,,,,,,,,,,,,81.54929577,3,NT 1L
NT,15,,,,,,,,,,,,,,,,,86.93548387,2,NT 2R
NT,15,,,,,,,,,,,,,,,,,77.92792793,2.5,NT 2L
NT,15,,,,,,,,,,,,,,,,,89.45054945,2.5,NT 3R
NT,15,,,,,,,,,,,,,,,,,86.83417085,2.5,NT 1R1L
NT,15,,,,,,,,,,,,,,,,,89.74226804,2,NT 2R1L
NT,15,,,,,,,,,,,,,,,,,94.41624365,2.5,NT 1R2L
NT,15,,,,,,,,,,,,,,,,,87.35,2,NT 2R2L
NT,15,,,,,,,,,,,,,,,,,82.02020202,2.5,NT Full
HICT,15,,,,,,,,,,,,,,,,,90.91428571,2,HICT 1R
HICT,15,,,,,,,,,,,,,,,,,83.25,2.5,HICT 1L
HICT,15,,,,,,,,,,,,,,,,,84.15789474,2.5,HICT 2R
HICT,15,,,,,,,,,,,,,,,,,94.62765957,2,HICT 2L
HICT,15,,,,,,,,,,,,,,,,,84.25641026,2.5,HICT 1R1L
HICT,15,,,,,,,,,,,,,,,,,84.11458333,2,HICT 2R1L
HICT,15,,,,,,,,,,,,,,,,,90.42553191,1.5,HICT 1R2L
HICT,15,,,,,,,,,,,,,,,,,80.26737968,3.5,HICT 2R2L
HICT,15,,,,,,,,,,,,,,,,,82.60638298,3,HICT full
NT,16,1155,11.9,8.2,0.8,2.9,13.8,16,41.7,8.65,38.3,33.2,15.9,24.7,372,5.4,158,111.2676056,2,NT 1R
NT,16,1156,16.1,11.5,1,3.6,12.8,16.1,41.5,7.99,38.8,31,16.7,25.6,265,5.4,140,120.5607477,2,NT 2R
NT,16,1149,14.6,11.2,1,2.4,12.6,16.8,40.9,7.51,41.1,30.9,18,29,317,5,129,111.8644068,2,NT 3R
NT,16,1153,15.1,11.5,1,2.6,14.5,16.8,42.3,8.66,39.7,34.4,16.4,26.6,593,5.4,141,130.8411215,2,NT 1L
NT,16,1146,15.8,11.6,1,3.2,13.7,16.1,41.6,8.56,38.6,33.1,16.5,25.6,572,5,132,120.5128205,2,NT 2L
NT,16,1154,10.8,7.4,0.8,2.6,13.9,16.6,42,8.35,39.6,33.1,17.1,27.4,468,5.6,134,115.5172414,2,NT 1R1L
NT,16,1147,22.2,16.6,1.7,3.9,15.2,16.1,42.2,9.39,38.3,36,16.8,26.2,496,5.1,151,101.3422819,2,NT 2R1L
NT,16,1152,20,14.2,1.3,4.5,14,16.2,42.2,8.65,38.5,33.3,15.5,24.3,432,5.4,119,115.5339806,2,NT 1R2L
NT,16,1151,13.9,10.5,1,2.4,15.5,16.3,42.3,9.51,38.4,36.6,16.9,26.4,506,5.5,135,103.0534351,2,NT 2R2L
NT,16,1148,,,,,13.7,16.6,42.1,8.21,39.5,32.5,15.6,25,495,5.3,158,118.7969925,2,NT Full
HICT,16,1161,15,10.5,1,3.5,14.4,16.9,42,8.57,40.1,34.4,16.9,27.9,417,5.3,147,93.25714286,1,HICT 1R
HICT,16,1165,10.8,8.6,0.5,1.7,12.2,16.9,40.5,7.24,41.8,30.2,16.4,28,352,5.4,127,87.89473684,2,HICT 2R
HICT,16,1158,17.2,12.8,0.9,3.5,14.4,15.9,41.9,9.02,38.1,34.4,15.9,24.5,281,5.1,145,89.1,2,HICT 1L
HICT,16,1163,16.6,12.4,1.2,3,14.3,16.2,40.9,8.79,39.7,34.9,17.3,28,457,5.3,148,97.60638298,2,HICT 2L
HICT,16,1164,15.2,10.4,1,3.8,13.3,17.2,40.8,7.73,42.2,32.6,19.1,31.9,511,5.5,138,87.43589744,2,HICT 1R1L 
